,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
16,Kahahakuri Stream at Plantation Rd Br,17,4,0.0,8167925,568,0,51,48,79,33,POINT (1895099.4 5576212.9),568
17,Kahahakuri Stream at Plantation Rd Br_gaugings,18,4,0.0,8167925,568,0,51,48,79,33,POINT (1895099.4 5576212.9),568
18,Kahahakuri Stream at S.H.50,19,4,33696.0,8167886,611,0,48,43,81,2,POINT (1892312.2 5577627.4),611
19,Kahahakuri Stream at S.H.50_gaugings,20,4,33696.0,8167886,611,0,48,43,81,2,POINT (1892312.2 5577627.4),611
20,Kahahakuri Trib at Chestermans Bridge,21,5,0.0,8167925,558,0,45,44,79,23,POINT (1893016.3 5579464.8),558
21,Kahahakuri Trib at Chestermans Bridge_gaugings,22,5,0.0,8167925,558,0,45,44,79,23,POINT (1893016.3 5579464.8),558
22,Kahahakuri Trib at Tributary No.1,23,6,14990.400000000001,8169920,729,0,61,56,98,14,POINT (1898817.9 5571124),729
23,Kahahakuri Trib at Tributary No.1_gaugings,24,6,14990.400000000001,8169920,729,0,61,56,98,14,POINT (1898817.9 5571124),729
24,Maharakeke Stream U/S Makaretu,25,2,28244.16,8170579,1442,0,66,52,190,8,POINT (1897017 5568622),1442
25,Maharakeke Stream at Limeworks Stn Rd,26,12,8268.48,8172021,1402,0,76,47,181,4,POINT (1894133.7 5563828.3),1402
26,Maharakeke Stream at Limeworks Stn Rd_gaugings,27,12,8268.48,8172021,1402,0,76,47,181,4,POINT (1894133.7 5563828.3),1402
27,Maharakeke Stream at State Highway 2 Br,28,19,17228.16,8170579,1441,0,67,52,190,7,POINT (1896816.9 5568221.6),1441
28,Maharakeke Stream at State Highway 2 Br_gaugings,29,19,17228.16,8170579,1441,0,67,52,190,7,POINT (1896816.9 5568221.6),1441
29,Maharakeke Strm US Unnamed Seeforth Trib,30,7,10411.200000000003,8172683,1225,0,79,42,153,17,POINT (1891720.3 5562013.8),1225
30,Maharakeke Strm US Unnamed Seeforth Trib_gaugings,31,7,10411.200000000003,8172683,1225,0,79,42,153,17,POINT (1891720.3 5562013.8),1225
31,Maharakeke Strm at Hinerangi Rd,32,7,7992.000000000001,8173460,900,0,85,38,110,3,POINT (1889612.3 5559021.6),900
32,Maharakeke Strm at Hinerangi Rd_gaugings,33,7,7992.000000000001,8173460,900,0,85,38,110,3,POINT (1889612.3 5559021.6),900
33,Makaretu Stream 500M U/S Power Lines,34,3,51269.76,8171738,1130,0,73,21,140,21,POINT (1881207.2 5565217.3),1130
34,Makaretu Stream U/S Maharakeke,35,5,50025.600000000006,8170570,1396,0,66,52,178,30,POINT (1897017 5568822.1),1396
35,Makaretu Stream U/S Maharakeke_gaugings,36,5,50025.600000000006,8170570,1396,0,66,52,178,30,POINT (1897017 5568822.1),1396
36,Makaretu Stream U/S Tukipo,37,13,13037.760000000002,8170495,1463,0,65,53,194,1,POINT (1897323.5 5569027.5),1463
37,Makaretu Stream U/S Tukipo_gaugings,38,13,13037.760000000002,8170495,1463,0,65,53,194,1,POINT (1897323.5 5569027.5),1463
38,Makaretu Stream at Burnside Road,39,2,92737.44,8171496,1339,0,72,32,175,9,POINT (1886646.5 5565760.5),1339
39,Makaretu Stream at Fairfield Road,40,3,59961.600000000006,8171496,1339,0,72,32,175,9,POINT (1886810.6 5565718.5),1339
40,Makaretu Stream at Farm Bridge,41,1,54172.8,8170570,1380,0,67,43,178,14,POINT (1892514 5568120.9),1380
41,Makaretu Stream at Fraser Road Extention,42,3,51580.8,8170570,1373,0,69,38,178,7,POINT (1889812.4 5567019.8),1373
42,Makaretu Stream at House off Burnside Rd,43,2,102124.79999999999,8170570,1370,0,70,36,178,4,POINT (1888889.8 5566703.4),1370
43,Makaretu Stream at Pagetts Road,44,18,46180.8,8171340,1088,0,70,2,136,3,POINT (1871597.3 5566692.5),1088
